ยี่ห้อ,ชื่อรุ่น,ประเภทสินค้า,คุณสมบัติเด่น,ค่า SEER / ประสิทธิภาพ,ปริมาณ / ขนาด (BTU),ราคาโดยประมาณ,ความเหมาะสมในการใช้งาน (Inferred),แหล่งที่มา
Mitsubishi Electric,Happy Inverter (MSY-KA09VF / MSY-KA18VF),เครื่องปรับอากาศติดผนัง,"V-Air Filter ยับยั้งไวรัสและแบคทีเรีย, Fast Cooling เย็นเร็วทันใจ, MAX PCB ทนทานต่อไฟกระชากสูงสุด 450V",18.50,"9,212 / 17,742",ไม่พบข้อมูลในแหล่งที่มา,เหมาะสำหรับห้องนอนขนาดเล็กถึงปานกลางที่ต้องการความเย็นเร็วและความทนทานสูง,"1, 2"
Mitsubishi Electric,GR Series (MSY-GRxxVF),เครื่องปรับอากาศติดผนัง,"Dual Barrier Coating ลดการเกาะของฝุ่นและละอองน้ำมัน, ระบบ PAM ควบคุมการทำงานของคอมเพรสเซอร์",26.04,"9,000",ไม่พบข้อมูลในแหล่งที่มา,เหมาะสำหรับผู้ที่ต้องการความทนทานสูงและการประหยัดพลังงานสูงสุดในระยะยาว,3
Carrier,XInverter Plus (TVAB-I / 42TVAB-series),เครื่องปรับอากาศติดผนัง,"เทคโนโลยี X-Ionizer ฟอกอากาศดักจับฝุ่น PM 2.5, ระบบ Self-Cleaning / Extra Cleaning ล้างตัวเองอัตโนมัติและถอดถาดน้ำทิ้งง่าย, ดีไซน์เปลี่ยนหน้ากากได้หลายสี, รองรับ Wi-Fi Alert",22.50 - 25.00 (เบอร์ 5 สูงสุด 3 ดาว),"9,000 - 15,000","24,xxx.-",เหมาะสำหรับครอบครัวยุคใหม่ในเขตเมืองที่เน้นทั้งการตกแต่งบ้านและสุขภาพทางเดินหายใจ,3-6
Daikin,Max Inverter,เครื่องปรับอากาศติดผนัง,Streamer Technology ยับยั้งเชื้อโรคและไวรัส,24.50 (เบอร์ 5 ระดับ 3 ดาว),"12,000","22,xxx.-",เหมาะสำหรับครอบครัวที่ใส่ใจสุขภาพและต้องการประหยัดไฟในระยะยาว,5
Daikin,Urusara 7 (FTXZ-NV2S),เครื่องปรับอากาศติดผนัง,"Humidity Control ควบคุมความชื้นสัมพัทธ์, ระบบฟอกอากาศ Streamer ยับยั้งเชื้อโรค",25.80,"9,000",ไม่พบข้อมูลในแหล่งที่มา,เหมาะสำหรับผู้ที่ใส่ใจสุขภาพและต้องการควบคุมคุณภาพอากาศอย่างละเอียดภายในบ้าน,3
Panasonic,nanoe™ X Inverter (XU-series),เครื่องปรับอากาศติดผนัง,เทคโนโลยี nanoe™ X ยับยั้งไวรัส แบคทีเรีย และลดกลิ่นอับตลอด 24 ชม. แม้ปิดเครื่อง,23.00 - 24.50 (เบอร์ 5 ระดับ 3 ดาว),"9,000 - 12,000","22,xxx.-",เหมาะสำหรับครอบครัวที่มีเด็กเล็ก ผู้สูงอายุ หรือผู้ที่เป็นภูมิแพ้,"3, 5"
Samsung,WindFree AI / Premium Plus,เครื่องปรับอากาศติดผนัง,"WindFree™ Cooling กระจายความเย็นผ่านรูขนาดเล็กโดยลมไม่ปะทะตัว, AI Energy Mode ประหยัดไฟสูงสุด 77%",22.50 - 23.80 (เบอร์ 5 ระดับ 3 ดาว),"9,000 - 12,000","19,xxx.-",เหมาะสำหรับห้องนอนและผู้ที่ไม่ชอบสัมผัสลมแอร์โดยตรงขณะนอนหลับ,"3, 5, 7"
LG,ARTCOOL GREEN (IAQ13G1),เครื่องปรับอากาศติดผนัง,"Deep Green Ocean Design ดีไซน์พรีเมียม, Plasmaster Ionizer++ กำจัดแบคทีเรีย 99.9%, รองรับการสั่งงานด้วยเสียง",ไม่พบข้อมูลในแหล่งที่มา,"12,000 (โดยประมาณ)",ไม่พบข้อมูลในแหล่งที่มา,เหมาะสำหรับผู้ที่ให้ความสำคัญกับการออกแบบตกแต่งและคนรักสุขภาพ,8
LG,DUALCOOL Master / Pro / Dual Inverter,เครื่องปรับอากาศติดผนัง,"Dual Inverter Compressor เย็นเร็วขึ้น 40%, UV nano กำจัดเชื้อโรคในตัวเครื่อง, แผ่นกรอง FineDust PM2.5, สั่งงานผ่าน LG ThinQ",21.00 - 24.70 (เบอร์ 5 สูงสุด 3 ดาว),"9,000 - 12,000","18,xxx.- / 22,990.-",เหมาะสำหรับผู้ที่ต้องการเครื่องปรับอากาศเทคโนโลยีสูงที่ควบคุมได้ผ่านสมาร์ทโฟน,"3, 5, 8, 9"
Mitsubishi Heavy Duty,Yuki (SRK-YXS-W1),เครื่องปรับอากาศติดผนัง,"ระบบ Jet Flow ส่งลมไกล 17 เมตร เย็นเร็วแรง, รับประกันความทนทานยาวนาน",23.80 (เบอร์ 5 ระดับ 3 ดาว),"12,200","21,xxx.-",เหมาะสำหรับการใช้งานหนักในพื้นที่กว้างที่ต้องการการกระจายลมอย่างทั่วถึง,"5, 6"
TCL,T-Pro Series / Miracle Series,เครื่องปรับอากาศติดผนัง,"Gentle Breeze ลมเย็นนุ่มนวล, แผงฟิน Titan Gold ทนทาน, รองรับ Smart TV และการสั่งงานด้วยเสียง",18.00 - 23.20 (เบอร์ 5),"9,000 - 24,230","13,xxx.- / 20,900.-",เหมาะสำหรับผู้ที่มองหาความคุ้มค่าและฟังก์ชันบ้านอัจฉริยะในงบประมาณที่จำกัด,"3, 5, 9"
Sharp,Plasmacluster (AH-XP13YMB),เครื่องปรับอากาศติดผนัง,"ระบบพลาสม่าคลัสเตอร์ฆ่าเชื้อโรคเข้มข้น, Powerful Jet เย็นเร็วทันใจ",20.00 (เบอร์ 5 ระดับ 3 ดาว),"12,000","15,490.- / 17,xxx.-",เหมาะสำหรับห้องนอนผู้ป่วยภูมิแพ้ที่ต้องการอากาศสะอาดบริสุทธิ์,"5, 9"
Haier,Clean Cool / Eco Inverter,เครื่องปรับอากาศติดผนัง,"Self-Cleaning ระบบล้างตัวเองอัตโนมัติด้วยการจับแข็งตัวของน้ำแข็ง, ฆ่าเชื้อด้วย UV",19.50 - 24.00 (เบอร์ 5 ระดับ 3 ดาว),"9,000 - 14,700","12,xxx.- / 17,800.-",เหมาะสำหรับผู้ใช้งานที่ต้องการแอร์ราคาประหยัดและดูแลรักษาง่ายด้วยตนเอง,"3, 5, 9"
Hisense,Fresh Air / AS-Series,เครื่องปรับอากาศติดผนัง,"ดึงอากาศบริสุทธิ์จากภายนอกเข้าสู่ห้อง, แผ่นกรอง 4 ชั้นเพิ่มความสะอาด",21.50 - 23.00 (เบอร์ 5 ระดับ 3 ดาว),"9,000 - 12,000","16,xxx.-",เหมาะสำหรับห้องที่อากาศอับชื้นหรือต้องการการถ่ายเทอากาศบริสุทธิ์เสมอ,"3, 5"
Gree,G-Tech Inverter,เครื่องปรับอากาศติดผนัง,"Blue Fin/Black Fin ทนทานต่อการกัดกร่อน, ระบบ I-Feel เซนเซอร์อุณหภูมิที่รีโมทแม่นยำ",23.50,"9,000",ไม่พบข้อมูลในแหล่งที่มา,เหมาะสำหรับผู้ที่ต้องการความแม่นยำในการคุมอุณหภูมิและความทนทานต่อสภาพอากาศ,3
Cotora,โฟมล้างแอร์ Cotora 3 IN 1,โฟมล้างแอร์,"กำจัดคราบฝังแน่นและฆ่าเชื้อโรคด้วยสูตร BKC, กลิ่นลาเวนเดอร์",ประสิทธิภาพสูง (3 IN 1),500 มล.,349 บาท,เหมาะสำหรับผู้ใช้ทั่วไปที่ต้องการล้างแอร์เองและต้องการกลิ่นหอมสดชื่น,10
3M,Air Foam 2 In 1,สเปรย์โฟมล้างแอร์,หัวสเปรย์ฉีดง่าย ขจัดสิ่งสกปรกได้รวดเร็วและไม่เลอะเทอะ,ประสิทธิภาพ 2 In 1,500 มล.,353 บาท,เหมาะสำหรับผู้ที่เชื่อมั่นในมาตรฐานแบรนด์สากลและเน้นความสะดวกในการใช้งาน,10
Monofoam,Lemon Scent,โฟมล้างแอร์,"ยับยั้งแบคทีเรีย 99.9%, ไม่กัดกร่อนคอยล์เย็น, กลิ่นเลมอนช่วยลดกลิ่นอับ",แอนตี้แบคทีเรีย 99.9%,500 มล.,175 - 200 บาท,เหมาะสำหรับเจ้าของบ้านที่ต้องการลดกลิ่นอับและยืดระยะการจ้างช่างล้างแอร์,11
NORCA,โฟมล้างแผงคอยล์เย็น / พัดลมกรงกระรอก,โฟมล้างแอร์,"ขจัดคราบฝังแน่นและเชื้อรา, สูตรเฉพาะสำหรับคอยล์เย็นหรือพัดลม, ใช้น้ำหอมจากฝรั่งเศส",ประสิทธิภาพเข้มข้น ไม่กัดกร่อน,500 มล.,149 บาท,เหมาะสำหรับผู้ที่ต้องการล้างส่วนประกอบแอร์อย่างเจาะจงและลดสาเหตุของภูมิแพ้,"10, 12, 13"
ชูช่วยแอร์,สเปรย์โฟมล้างแอร์,ผลิตภัณฑ์ทำความสะอาด,"กำจัดเชื้อโรคได้มากกว่า 90%, ลดกลิ่นอับ, ล้างง่ายด้วยตัวเอง",กำจัดเชื้อโรค >90%,ไม่พบข้อมูลในแหล่งที่มา,ไม่พบข้อมูลในแหล่งที่มา,เหมาะสำหรับผู้ใช้งานเบื้องต้นที่ต้องการลดการสะสมของเชื้อโรคในแอร์,14
Aircon Cleaner,Spray Sakura,สเปรย์ล้างแอร์,"หัวฉีด Trigger Jet เข้าถึงจุดยาก, สารสกัดชาเขียวช่วยลดกลิ่นอับ",ประสิทธิภาพปานกลาง,370 มล.,111 บาท,เหมาะสำหรับผู้ที่ต้องการความสะดวกในการล้างฝุ่นสะสมและกำจัดกลิ่น,10
AEROPAK,สเปรย์ล้างแอร์รถยนต์,สเปรย์ล้างแอร์รถยนต์,"ล้างแผงคอยล์เย็นในรถยนต์โดยเฉพาะ, ลดการสะสมของฝุ่นและแบคทีเรีย",เฉพาะทางสำหรับรถยนต์,500 มล.,97 บาท,เหมาะสำหรับเจ้าของรถยนต์ที่ต้องการดูแลระบบปรับอากาศในรถด้วยตนเอง,10
